"Nom de la Station","SALLUIT"
"Province","QUÉBEC"
"Latitude","62,18"
"Longitude","-75,67"
"Altitude","228,00"
"ID climatologique","7117800"
"ID de l'OMM","71641"
"ID de TC","MFX"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"E","Valeur estimée"
"M","Données manquantes"
"ND","Non disponible"

"Date/Heure","Année","Mois","Jour","Heure","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2015-01-05 05:00","2015","01","05","05:00","-32,2","","-35,8","","71","","21","","9","","","","98,06","","","","-41","","ND"
"2015-01-05 06:00","2015","01","05","06:00","-32,2","","-35,7","","71","","20","","7","","","","98,00","","","","-40","","ND"
"2015-01-05 07:00","2015","01","05","07:00","-32,0","","-35,5","","71","","23","","5","","","","97,97","","","","-38","","ND"
"2015-01-05 08:00","2015","01","05","08:00","-31,5","","-34,9","","72","","23","","4","","","","97,95","","","","-36","","ND"
"2015-01-05 09:00","2015","01","05","09:00","-32,4","","-35,9","","71","","26","","5","","","","97,93","","","","-38","","ND"
"2015-01-05 10:00","2015","01","05","10:00","-32,1","","-35,4","","72","","26","","5","","","","97,88","","","","-38","","ND"
"2015-01-05 11:00","2015","01","05","11:00","-32,1","","-35,6","","71","","28","","4","","","","97,83","","","","-37","","ND"
"2015-01-05 12:00","2015","01","05","12:00","-31,8","","-35,2","","71","","25","","4","","","","97,81","","","","-36","","ND"
"2015-01-05 13:00","2015","01","05","13:00","-31,5","","-34,8","","73","","25","","5","","","","97,82","","","","-37","","ND"
"2015-01-05 14:00","2015","01","05","14:00","-31,4","","-34,6","","73","","24","","5","","","","97,83","","","","-37","","ND"
"2015-01-05 15:00","2015","01","05","15:00","-30,7","","-33,8","","74","","25","","3","","","","97,84","","","","-34","","ND"
"2015-01-05 16:00","2015","01","05","16:00","-30,8","","-34,0","","73","","25","","4","","","","97,85","","","","-35","","ND"
"2015-01-05 17:00","2015","01","05","17:00","-29,9","","-33,0","","74","","25","","4","","","","97,83","","","","-34","","ND"
"2015-01-05 18:00","2015","01","05","18:00","-29,7","","-32,8","","75","","23","","3","","","","97,85","","","","-33","","ND"
"2015-01-05 19:00","2015","01","05","19:00","-29,5","","-32,5","","75","","22","","2","","","","97,83","","","","-32","","ND"
"2015-01-05 20:00","2015","01","05","20:00","-29,6","","-32,7","","74","","25","","2","","","","97,80","","","","-32","","ND"
"2015-01-05 21:00","2015","01","05","21:00","-29,9","","-32,9","","74","","23","","2","","","","97,80","","","","-32","","ND"
"2015-01-05 22:00","2015","01","05","22:00","-29,6","","-32,6","","75","","24","","3","","","","97,78","","","","-33","","ND"
"2015-01-05 23:00","2015","01","05","23:00","-29,2","","-32,2","","75","","26","","2","","","","97,78","","","","-31","","ND"
"2015-01-06 00:00","2015","01","06","00:00","-29,5","","-32,6","","74","","23","","3","","","","97,76","","","","-33","","ND"
"2015-01-06 01:00","2015","01","06","01:00","-29,0","","-32,0","","75","","22","","3","","","","97,78","","","","-32","","ND"
"2015-01-06 02:00","2015","01","06","02:00","-28,8","","-31,8","","75","","23","","3","","","","97,77","","","","-32","","ND"
"2015-01-06 03:00","2015","01","06","03:00","-28,9","","-32,0","","75","","22","","4","","","","97,75","","","","-33","","ND"
"2015-01-06 04:00","2015","01","06","04:00","-28,9","","-31,9","","75","","24","","4","","","","97,73","","","","-33","","ND"
"2015-01-06 05:00","2015","01","06","05:00","-28,8","","-31,8","","75","","22","","4","","","","97,72","","","","-33","","ND"
"2015-01-06 06:00","2015","01","06","06:00","-29,8","","-32,9","","74","","25","","4","","","","97,70","","","","-34","","ND"
"2015-01-06 07:00","2015","01","06","07:00","-30,0","","-33,1","","74","","24","","7","","","","97,70","","","","-37","","ND"
"2015-01-06 08:00","2015","01","06","08:00","-30,4","","-33,6","","73","","23","","7","","","","97,68","","","","-38","","ND"
"2015-01-06 09:00","2015","01","06","09:00","-31,0","","-34,2","","73","","22","","7","","","","97,67","","","","-38","","ND"
"2015-01-06 10:00","2015","01","06","10:00","-30,8","","-34,0","","73","","24","","7","","","","97,65","","","","-38","","ND"
"2015-01-06 11:00","2015","01","06","11:00","-31,1","","-34,4","","73","","21","","8","","","","97,58","","","","-39","","ND"
"2015-01-06 12:00","2015","01","06","12:00","-31,0","","-34,4","","72","","23","","10","","","","97,55","","","","-40","","ND"
"2015-01-06 13:00","2015","01","06","13:00","-30,7","","-34,0","","73","","22","","11","","","","97,51","","","","-41","","ND"
"2015-01-06 14:00","2015","01","06","14:00","-31,1","","-34,4","","72","","22","","13","","","","97,51","","","","-42","","ND"
"2015-01-06 15:00","2015","01","06","15:00","-30,9","","-34,2","","73","","22","","22","","","","97,50","","","","-45","","ND"
"2015-01-06 16:00","2015","01","06","16:00","-31,6","","-35,0","","72","","20","","26","","","","97,43","","","","-47","","ND"
"2015-01-06 17:00","2015","01","06","17:00","-30,8","","-34,1","","73","","23","","30","","","","97,36","","","","-47","","ND"
"2015-01-06 18:00","2015","01","06","18:00","-29,6","","-32,7","","74","","23","","39","","","","97,30","","","","-47","","ND"
"2015-01-06 19:00","2015","01","06","19:00","-29,0","","-32,1","","75","","23","","39","","","","97,21","","","","-46","","ND"
"2015-01-06 20:00","2015","01","06","20:00","-29,2","","-32,2","","75","","22","","37","","","","97,16","","","","-46","","ND"
"2015-01-06 21:00","2015","01","06","21:00","-29,6","","-32,9","","73","","23","","42","","","","97,05","","","","-47","","ND"
"2015-01-06 22:00","2015","01","06","22:00","-29,3","","-32,3","","75","","22","","50","","","","96,90","","","","-48","","ND"
"2015-01-06 23:00","2015","01","06","23:00","-30,4","","-33,7","","72","","21","","48","","","","96,77","","","","-49","","ND"
