dates,DB_R_uncorrected,DB_R_corrected,S_EC
2016-09-25 00:00:00+00:00,5.666666666666667,5.6663686930585895,3.2374999999999994
2016-09-26 00:00:00+00:00,5.666666666666667,5.666341608246972,3.6875000000000004
2016-09-27 00:00:00+00:00,8.25,8.249645536662936,4.125000000000001
2016-09-28 00:00:00+00:00,10.0,9.999613626345111,6.050000000000001
2016-09-29 00:00:00+00:00,7.75,7.749579011751882,3.6375000000000006
2016-09-30 00:00:00+00:00,5.583333333333333,5.58287481287122,2.129166666666666
2016-10-01 00:00:00+00:00,3.5,3.4995008009474664,0.38571428571428573
2016-10-02 00:00:00+00:00,1.25,1.249456730822965,-1.0583333333333331
2016-10-03 00:00:00+00:00,2.4,2.399409006559072,-0.5208333333333335
2016-10-04 00:00:00+00:00,4.916666666666667,4.916024013667716,1.7249999999999994
2016-10-05 00:00:00+00:00,0.1,0.0993014512846409,-2.2
2016-10-06 00:00:00+00:00,0.5,0.49924099761545465,-2.7208333333333337
2016-10-07 00:00:00+00:00,0.4166666666666667,0.4158423086522336,-2.8333333333333335
2016-10-08 00:00:00+00:00,-0.4166666666666667,-0.41756164984154914,-3.0291666666666672
2016-10-09 00:00:00+00:00,0.3333333333333333,0.3323620629199668,-3.120833333333333
2016-10-10 00:00:00+00:00,0.5,0.49894636125983277,-3.4250000000000007
2016-10-11 00:00:00+00:00,2.1,2.0988574648146674,-2.9291666666666667
2016-10-12 00:00:00+00:00,-0.16666666666666666,-0.16790510309628487,-4.431818181818182
2016-10-13 00:00:00+00:00,-1.1666666666666667,-1.1680085171782768,-4.78125
2016-10-14 00:00:00+00:00,-0.6666666666666666,-0.6681199852798558,-4.122222222222224
2016-10-15 00:00:00+00:00,-0.25,-0.25157341692545226,-4.276190476190477
2016-10-16 00:00:00+00:00,-1.5,-1.501702758597143,-4.583333333333333
2016-10-17 00:00:00+00:00,-1.5833333333333333,-1.5851753291009174,-5.770833333333332
2016-10-18 00:00:00+00:00,-5.416666666666667,-5.41865848835268,-7.325
2016-10-20 00:00:00+00:00,-5.5,-5.502326231648583,-7.658333333333334
2016-10-21 00:00:00+00:00,-0.3333333333333333,-0.3358457613932393,-2.195833333333333
2016-10-22 00:00:00+00:00,-2.0,-2.002712442824454,-4.722727272727273
2016-10-23 00:00:00+00:00,-2.9166666666666665,-2.9195938763421885,-6.833333333333332
2016-10-24 00:00:00+00:00,-2.6666666666666665,-2.6698243847464913,-5.816666666666666
2016-10-25 00:00:00+00:00,-3.0833333333333335,-3.0867383493385754,-5.966666666666668
2016-10-26 00:00:00+00:00,-1.25,-1.2536702127855588,-3.4125
2016-10-27 00:00:00+00:00,-0.25,-0.25395448208269417,-2.5625000000000004
2016-10-28 00:00:00+00:00,-1.0833333333333333,-1.0875923982800049,-3.899999999999999
2016-10-29 00:00:00+00:00,-6.333333333333333,-6.337918606306653,-8.487500000000002
2016-10-30 00:00:00+00:00,-4.0,-4.004934491559407,-6.5375000000000005
2016-10-31 00:00:00+00:00,-4.538461538461538,-4.54376972171614,-6.966666666666668
2016-11-01 00:00:00+00:00,-2.3076923076923075,-2.3134001989016464,-4.042857142857144
2016-11-02 00:00:00+00:00,1.0909090909090908,1.084773848191793,-1.7208333333333332
2016-11-03 00:00:00+00:00,0.45454545454545453,0.4479535016945998,-2.9333333333333336
2016-11-04 00:00:00+00:00,-1.8461538461538463,-1.8532336743412976,-4.995833333333334
2016-11-05 00:00:00+00:00,-5.615384615384615,-5.622985386009036,-7.7625
