;T_uncorrected;T_corrected
2017-05-29 00:00:00+00:00;10.833333333333334;7.4138332658880115
2017-05-30 00:00:00+00:00;10.333333333333334;6.952594209413288
2017-05-31 00:00:00+00:00;17.166666666666668;13.825585820306443
2017-06-01 00:00:00+00:00;12.583333333333334;9.282766038023764
2017-06-02 00:00:00+00:00;2.8333333333333335;-0.42590771627570284
2017-06-03 00:00:00+00:00;1.40625;-1.810895132420869
2017-06-04 00:00:00+00:00;5.583333333333333;2.4090103960520235
2017-06-05 00:00:00+00:00;14.75;11.61918184564212
2017-06-06 00:00:00+00:00;4.333333333333333;1.2466586362489547
2017-06-07 00:00:00+00:00;7.25;4.208063370656631
2017-06-08 00:00:00+00:00;3.25;0.2533519066378254
2017-06-09 00:00:00+00:00;2.5;-0.4508532384840355
2017-06-10 00:00:00+00:00;1.78125;-1.1233461509714204
2017-06-11 00:00:00+00:00;3.71875;0.8608292150067487
2017-06-12 00:00:00+00:00;6.25;3.439129105057761
2017-06-13 00:00:00+00:00;5.083333333333333;2.319843364110731
2017-06-14 00:00:00+00:00;9.083333333333334;6.3675121676912605
2017-06-15 00:00:00+00:00;13.083333333333334;10.415426084797794
2017-06-16 00:00:00+00:00;9.916666666666666;7.29687613892601
2017-06-17 00:00:00+00:00;6.777777777777778;4.206264978239107
2017-06-18 00:00:00+00:00;7.0;4.476884710333815
2017-06-20 00:00:00+00:00;15.75;13.323877351522574
2017-06-21 00:00:00+00:00;6.25;3.872393366081696
2017-06-22 00:00:00+00:00;11.25;8.92087102681673
2017-06-23 00:00:00+00:00;6.666666666666667;4.385939403292384
2017-06-24 00:00:00+00:00;4.333333333333333;2.100895095781839
2017-06-25 00:00:00+00:00;2.3333333333333335;0.14903560878909583
2017-06-26 00:00:00+00:00;4.166666666666667;2.0303260552729125
2017-06-27 00:00:00+00:00;7.333333333333333;5.244732524872276
2017-06-28 00:00:00+00:00;11.166666666666666;9.125555449441357
2017-06-29 00:00:00+00:00;13.916666666666666;11.922762965876627
2017-06-30 00:00:00+00:00;14.472222222222221;12.525213165115526
2017-07-01 00:00:00+00:00;15.384615384615385;13.48415838969815
2017-07-02 00:00:00+00:00;11.538461538461538;9.684185426051595
2017-07-03 00:00:00+00:00;10.846153846153847;9.03765996757853
2017-07-04 00:00:00+00:00;12.76923076923077;11.006094151989156
2017-07-05 00:00:00+00:00;13.461538461538462;11.743308967775585
2017-07-06 00:00:00+00:00;10.76923076923077;9.095434264905348
2017-07-07 00:00:00+00:00;9.923076923076923;8.293216455244348
2017-07-08 00:00:00+00:00;7.384615384615385;5.7981723642942455
2017-07-09 00:00:00+00:00;11.846153846153847;10.302589234296388
2017-07-10 00:00:00+00:00;16.23076923076923;14.729524724913935
2017-07-11 00:00:00+00:00;9.461538461538462;8.002037680785726
2017-07-12 00:00:00+00:00;12.23076923076923;10.812418896788898
2017-07-13 00:00:00+00:00;8.692307692307692;7.314498804159275
2017-07-14 00:00:00+00:00;8.384615384615385;7.046724385238187
2017-07-15 00:00:00+00:00;6.384615384615385;5.086005316925774
2017-07-16 00:00:00+00:00;9.461538461538462;8.201560112155024
2017-07-17 00:00:00+00:00;16.0;14.777993028703898
2017-07-18 00:00:00+00:00;6.923076923076923;5.738370976203958
2017-07-19 00:00:00+00:00;10.461538461538462;9.31345426759094
2017-07-20 00:00:00+00:00;12.0;10.887850445860055
2017-07-21 00:00:00+00:00;5.333333333333333;4.256424519554479
2017-07-22 00:00:00+00:00;8.461538461538462;7.4191707352886205
2017-07-23 00:00:00+00:00;12.076923076923077;11.06839204124966
2017-07-24 00:00:00+00:00;18.46153846153846;17.486135959724034
2017-07-25 00:00:00+00:00;13.76923076923077;12.826245843106062
2017-07-26 00:00:00+00:00;14.461538461538462;13.550258282717559
2017-07-27 00:00:00+00:00;5.769230769230769;4.888941542331276
2017-07-28 00:00:00+00:00;12.0;11.149987837007904
2017-07-29 00:00:00+00:00;16.0;15.179551765035312
2017-07-30 00:00:00+00:00;13.307692307692308;12.516096431526448
2017-07-31 00:00:00+00:00;8.76923076923077;8.00577803300019
2017-08-01 00:00:00+00:00;8.76923076923077;8.03321505688312
2017-08-02 00:00:00+00:00;8.538461538461538;7.829180557560478
2017-08-03 00:00:00+00:00;13.615384615384615;12.932140585987087
2017-08-04 00:00:00+00:00;10.23076923076923;9.572869542174324
2017-08-05 00:00:00+00:00;5.461538461538462;4.828296296789762
2017-08-06 00:00:00+00:00;10.76923076923077;10.159965697334153
2017-08-07 00:00:00+00:00;16.0;15.414038535896042
2017-08-08 00:00:00+00:00;18.307692307692307;17.744368440096654
2017-08-09 00:00:00+00:00;12.384615384615385;11.843271071911488
2017-08-10 00:00:00+00:00;9.461538461538462;8.94152409597496
2017-08-11 00:00:00+00:00;8.076923076923077;7.577597917432566
2017-08-12 00:00:00+00:00;7.538461538461538;7.059194112478618
2017-08-13 00:00:00+00:00;7.923076923076923;7.46324539779107
2017-08-14 00:00:00+00:00;8.76923076923077;8.328223292763719
2017-08-15 00:00:00+00:00;12.846153846153847;12.42336885920179
2017-08-16 00:00:00+00:00;11.307692307692308;10.902538826220285
2017-08-17 00:00:00+00:00;12.153846153846153;11.765744023465478
2017-08-18 00:00:00+00:00;10.76923076923077;10.397610891930322
2017-08-19 00:00:00+00:00;9.538461538461538;9.182766072400124
2017-08-20 00:00:00+00:00;12.307692307692308;11.967374840792214
2017-08-21 00:00:00+00:00;11.23076923076923;10.905294928880524
2017-08-22 00:00:00+00:00;9.76923076923077;9.458076499661946
2017-08-23 00:00:00+00:00;9.307692307692308;9.010346738925556
2017-08-24 00:00:00+00:00;9.692307692307692;9.408271370736454
2017-08-25 00:00:00+00:00;13.846153846153847;13.574939250696568
2017-08-26 00:00:00+00:00;18.153846153846153;17.89497772930315
2017-08-27 00:00:00+00:00;16.76923076923077;16.522244939261327
2017-08-28 00:00:00+00:00;15.307692307692308;15.072137468296132
2017-08-29 00:00:00+00:00;5.923076923076923;5.698513417468523
2017-08-30 00:00:00+00:00;4.538461538461538;4.324461614227682
2017-08-31 00:00:00+00:00;7.230769230769231;7.026916980198686
2017-09-01 00:00:00+00:00;11.307692307692308;11.11358359216363
2017-09-02 00:00:00+00:00;12.923076923076923;12.738319282384303
2017-09-03 00:00:00+00:00;13.384615384615385;13.208827932104532
2017-09-04 00:00:00+00:00;8.153846153846153;7.986659458222093
2017-09-05 00:00:00+00:00;5.615384615384615;5.456440570041203
2017-09-06 00:00:00+00:00;6.615384615384615;6.464336296091627
2017-09-07 00:00:00+00:00;6.3076923076923075;6.164203819460318
2017-09-08 00:00:00+00:00;9.0;8.863746313926011
2017-09-09 00:00:00+00:00;14.461538461538462;14.33220524241655
2017-09-10 00:00:00+00:00;6.3076923076923075;6.1849757331534585
2017-09-11 00:00:00+00:00;6.230769230769231;6.1143758026933215
2017-09-12 00:00:00+00:00;10.692307692307692;10.581954041228135
2017-09-13 00:00:00+00:00;5.076923076923077;4.972335760121339
2017-09-14 00:00:00+00:00;4.615384615384615;4.516299909347588
2017-09-15 00:00:00+00:00;4.615384615384615;4.521548303272845
2017-09-16 00:00:00+00:00;6.25;6.161167154749179
2017-09-17 00:00:00+00:00;7.769230769230769;7.685165532882738
2017-09-18 00:00:00+00:00;8.846153846153847;8.766629205986794
2017-09-19 00:00:00+00:00;8.153846153846153;8.078643715846752
2017-09-20 00:00:00+00:00;4.3076923076923075;4.236602067885408
2017-09-21 00:00:00+00:00;4.6923076923076925;4.625127806431862
2017-09-22 00:00:00+00:00;4.6923076923076925;4.6288442442974995
2017-09-23 00:00:00+00:00;4.6923076923076925;4.632374462016322
2017-09-24 00:00:00+00:00;2.230769230769231;2.174187461337688
2017-09-25 00:00:00+00:00;1.8461538461538463;1.7927520114059408
2017-09-26 00:00:00+00:00;1.3076923076923077;1.257305879907718
2017-09-27 00:00:00+00:00;1.9230769230769231;1.8755481414680562
2017-09-28 00:00:00+00:00;4.0;3.9551776401921424
2017-09-29 00:00:00+00:00;0.6153846153846154;0.5731237601730358
2017-09-30 00:00:00+00:00;3.4615384615384617;3.421700273170778
2017-10-01 00:00:00+00:00;2.0;1.9624514942072446
2017-10-02 00:00:00+00:00;2.5384615384615383;2.5030753604370566
2017-10-03 00:00:00+00:00;3.5384615384615383;3.505115740963114
2017-10-04 00:00:00+00:00;1.3076923076923077;1.2762701314198066
2017-10-05 00:00:00+00:00;0.38461538461538464;0.35500504099373575
2017-10-06 00:00:00+00:00;1.3076923076923077;1.2797867641678629
2017-10-07 00:00:00+00:00;0.46153846153846156;0.4352352294756874
2017-10-08 00:00:00+00:00;0.0;-0.024799074754906232
2017-10-09 00:00:00+00:00;2.076923076923077;2.053534133081477
2017-10-10 00:00:00+00:00;4.0;3.9779310844558915
2017-10-11 00:00:00+00:00;2.769230769230769;2.748395501918593
2017-10-12 00:00:00+00:00;0.07692307692307693;0.057238601843726526
2017-10-13 00:00:00+00:00;1.9230769230769231;1.9044637125347808
